feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PACC1	status	Tumor	1.59161638000979	0.113499329957482	855	427	2.45550844635291e-40	4.09251407725485e-39
C1QTNF6	status	Tumor	1.5998289494145	0.114084286769275	855	425	2.45313496729387e-40	4.09251407725485e-39
SKA1	status	Tumor	1.59964358192583	0.114137182312073	855	435	2.6920486835709e-40	4.4718416670613e-39
LRP8	status	Tumor	1.5922176681539	0.113743623727844	855	408	3.26197709801991e-40	5.40062433447006e-39
PCLAF	status	Tumor	1.600299475409	0.114337002969387	855	445	3.33601168212611e-40	5.50496977248534e-39
EPCAM	status	Tumor	1.60146706782751	0.114435613604194	855	451	3.40760199188923e-40	5.60460853929149e-39
SDS	status	Tumor	1.59026704116871	0.113696826067363	855	412	3.71563387321912e-40	6.09120307085101e-39
TREM2	status	Tumor	1.59498899597561	0.114078433514356	855	434	3.95187197243981e-40	6.45730714450949e-39
CIDEA	status	Tumor	-1.60104359128084	0.114516860484575	855	497	3.9816549744636e-40	6.48478008870293e-39
KIF26B	status	Tumor	1.59139709880819	0.113831880847303	855	413	4.00967573193438e-40	6.48814843355078e-39
CRY2	status	Tumor	-1.59830177856321	0.114324703736786	855	426	4.00371259710431e-40	6.48814843355078e-39
AURKA	status	Tumor	1.6029060912235	0.114671620593027	855	440	4.10290274181291e-40	6.61758506744018e-39
