"gene","module","MM","GS","GS_trait","hubScore"
"SPART","turquoise",0.774,-0.289,"status_Tumor",0.224
"PHLDB2","turquoise",0.774,-0.154,"status_Tumor",0.119
"KLHL4","turquoise",0.774,-0.135,"status_Tumor",0.104
"ARK2C","turquoise",0.773,-0.244,"status_Tumor",0.189
"BARX1-DT","turquoise",0.773,-0.232,"status_Tumor",0.18
"SMIM10","turquoise",0.773,-0.206,"status_Tumor",0.159
"ADH1B","turquoise",0.772,-0.389,"status_Tumor",0.3
"BMERB1","turquoise",0.772,-0.28,"status_Tumor",0.216
"SLC35F1","turquoise",0.772,-0.223,"status_Tumor",0.172
"FRZB","turquoise",0.771,-0.175,"status_Tumor",0.135
"PDE1B","turquoise",0.77,-0.262,"status_Tumor",0.201
"CORO2B","turquoise",0.769,-0.273,"status_Tumor",0.21
"NR2F1","turquoise",0.769,-0.203,"status_Tumor",0.156
"SGCE","turquoise",0.769,-0.197,"status_Tumor",0.151
"NTN1","turquoise",0.768,-0.363,"status_Tumor",0.278
"CLIP4","turquoise",0.768,-0.268,"status_Tumor",0.206
"ASTN1","turquoise",0.768,-0.238,"status_Tumor",0.183
"MYOC","turquoise",0.767,-0.528,"status_Tumor",0.405
"RXRG","turquoise",0.767,-0.507,"status_Tumor",0.388
"XKR4","turquoise",0.767,-0.361,"status_Tumor",0.277
"CYS1","turquoise",0.766,-0.23,"status_Tumor",0.176
"GFRA2","turquoise",0.765,-0.44,"status_Tumor",0.336
"GRIK3","turquoise",0.765,-0.386,"status_Tumor",0.296
"RNF217","turquoise",0.765,-0.224,"status_Tumor",0.172
"KCNA1","turquoise",0.765,-0.217,"status_Tumor",0.166
"HDX","turquoise",0.765,-0.201,"status_Tumor",0.154
"PYGO1","turquoise",0.765,-0.135,"status_Tumor",0.103
"ADAMTSL1","turquoise",0.764,-0.428,"status_Tumor",0.327
"LOC101927825","turquoise",0.764,-0.239,"status_Tumor",0.182
"PCDHGB7","turquoise",0.763,-0.234,"status_Tumor",0.178
"ADAMTS1","turquoise",0.762,-0.359,"status_Tumor",0.274
"PI16","turquoise",0.761,-0.442,"status_Tumor",0.336
"PTN","turquoise",0.761,-0.43,"status_Tumor",0.328
"GDF10","turquoise",0.761,-0.266,"status_Tumor",0.202
"COLEC12","turquoise",0.761,-0.227,"status_Tumor",0.173
"KCNE4","turquoise",0.761,-0.166,"status_Tumor",0.126
"NRXN2","turquoise",0.761,-0.108,"status_Tumor",0.082
"RSPO3","turquoise",0.761,-0.094,"status_Tumor",0.071
"PPP1R3C","turquoise",0.76,-0.399,"status_Tumor",0.303
"EFS","turquoise",0.76,-0.392,"status_Tumor",0.298
"ASB5","turquoise",0.76,-0.29,"status_Tumor",0.22
"COPZ2","turquoise",0.76,-0.262,"status_Tumor",0.199
"ANGPT1","turquoise",0.76,-0.258,"status_Tumor",0.196
"PLSCR4","turquoise",0.76,-0.159,"status_Tumor",0.121
